City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,81,PF,1603347253,73,-23.12,-134.97,74.07,2.55
Amga,100,RU,1603347130,95,60.9,131.96,23.7,3.96
Yerbogachën,100,RU,1603347128,97,61.28,108.01,31.53,10.38
Saldanha,0,ZA,1603347254,82,-33.01,17.94,57.2,8.05
Ushuaia,75,AR,1603347125,61,-54.8,-68.3,46.4,3.36
New Norfolk,40,AU,1603347254,63,-42.78,147.06,60.8,11.41
Kungurtug,1,RU,1603347254,47,50.6,97.52,47.7,1.16
Butaritari,47,KI,1603347255,72,3.07,172.79,82.09,8.77
Kavieng,51,PG,1603347255,68,-2.57,150.8,84.38,7.16
Kapaa,75,US,1603347255,78,22.08,-159.32,77.0,4.7
Panzhihua,100,CN,1603347255,78,26.59,101.71,55.53,1.12
Périgueux,70,FR,1603347256,91,45.18,0.72,57.99,6.17
Brae,75,GB,1603347256,65,60.4,-1.35,46.4,21.92
Mar del Plata,70,AR,1603347256,69,-38.0,-57.56,54.0,17.0
Makakilo City,90,US,1603347256,88,21.35,-158.09,77.0,1.32
Vaini,90,TO,1603347256,78,-21.2,-175.2,73.4,8.05
Inhambane,40,MZ,1603347257,61,-23.86,35.38,80.6,9.17
Cotonou,40,BJ,1603347257,88,6.37,2.42,80.6,8.05
Punta Arenas,75,CL,1603347257,70,-53.15,-70.92,46.4,9.17
Carnarvon,0,AU,1603347257,47,-24.87,113.63,77.0,18.34
San Andrés,31,CO,1603347258,71,12.58,-81.7,82.8,2.1
Thompson,90,CA,1603347258,92,55.74,-97.86,23.0,3.36
Broome,90,US,1603347258,100,42.25,-75.83,62.01,4.7
Bud,90,US,1603347258,100,39.45,-86.18,57.99,3.36
Bontang,68,ID,1603347258,70,0.13,117.5,86.02,11.39
Morros,43,BR,1603347258,36,-9.45,-46.3,77.18,2.91
Vostok,100,RU,1603347259,97,46.49,135.88,41.61,1.25
Kruisfontein,0,ZA,1603347259,60,-34.0,24.73,66.0,1.99
Brande,90,DK,1603347259,93,55.94,9.12,55.99,10.29
Hobart,40,AU,1603347059,63,-42.88,147.33,60.8,11.41
Tiksi,100,RU,1603347259,94,71.69,128.87,12.94,5.61
Mount Gambier,100,AU,1603347134,52,-37.83,140.77,68.0,5.82
Upernavik,78,GL,1603347260,96,72.79,-56.15,23.76,2.89
Huarmey,66,PE,1603347260,83,-10.07,-78.15,63.25,6.93
Salalah,20,OM,1603347260,74,17.02,54.09,84.2,3.36
Gondanglegi,99,ID,1603347260,55,-7.75,112.01,91.08,10.74
Itápolis,22,BR,1603347261,69,-21.6,-48.81,68.36,11.21
Mataura,96,NZ,1603347261,58,-46.19,168.86,60.01,1.01
Galesong,20,ID,1603347261,49,-5.32,119.37,93.2,13.87
Hermanus,2,ZA,1603347261,76,-34.42,19.23,63.0,8.01
Yangi Marg`ilon,68,UZ,1603347262,22,40.43,71.72,62.6,13.87
Ponta do Sol,20,PT,1603347262,55,32.67,-17.1,64.4,8.05
Paramonga,58,PE,1603347262,86,-10.67,-77.83,62.35,5.19
Leningradskiy,100,RU,1603347262,94,69.38,178.42,32.32,0.67
Kindu,93,CD,1603347262,97,-2.95,25.95,70.84,1.43
Sørland,75,NO,1603347263,69,67.67,12.69,39.2,9.17
Iqaluit,90,CA,1603347065,93,63.75,-68.51,32.0,4.7
Khatanga,84,RU,1603347008,94,71.97,102.5,13.6,11.86
Los Llanos de Aridane,20,ES,1603347263,68,28.66,-17.92,66.2,8.05
Hofn,93,IS,1603347263,78,64.25,-15.21,37.27,6.62
Port Elizabeth,0,ZA,1603347090,68,-33.92,25.57,66.2,3.36
San Matías,13,BO,1603347264,76,-16.37,-58.4,76.24,2.84
Marystown,98,CA,1603347192,100,47.17,-55.15,55.0,5.99
Esil,99,KZ,1603347264,91,51.96,66.4,34.97,16.51
Busselton,10,AU,1603347264,28,-33.65,115.33,71.01,11.99
Sur,18,OM,1603347264,35,22.57,59.53,86.31,13.38
Mbala,52,ZM,1603347265,55,-8.84,31.37,72.66,5.82
Atuona,4,PF,1603347265,74,-9.8,-139.03,77.9,15.55
San Patricio,20,US,1603347265,83,28.02,-97.52,79.0,9.17
Hobyo,1,SO,1603347265,70,5.35,48.53,83.39,7.74
Kelč,55,CZ,1603347265,81,49.48,17.82,50.0,16.11
Fortuna,1,US,1603347266,87,40.6,-124.16,52.0,11.41
Majene,56,ID,1603347261,57,-3.54,118.97,88.12,7.99
Vanavara,100,RU,1603347266,88,60.34,102.28,38.52,7.49
Xining,0,CN,1603347266,33,36.62,101.77,54.3,3.04
Hithadhoo,34,MV,1603347030,74,-0.6,73.08,83.21,13.47
Tuktoyaktuk,90,CA,1603347267,85,69.45,-133.04,19.4,11.41
Port Shepstone,46,ZA,1603347267,75,-30.74,30.45,69.08,18.79
Nānākuli,90,US,1603347267,88,21.39,-158.15,77.0,1.77
Puerto Ayora,98,EC,1603347267,94,-0.74,-90.35,68.0,7.0
Lavrentiya,1,RU,1603347267,93,65.58,-171.0,35.1,2.39
Muravlenko,75,RU,1603347268,97,63.79,74.52,19.02,9.28
San Jose,0,US,1603347167,70,37.34,-121.89,66.99,1.12
Mahon,86,ES,1603347268,82,39.89,4.27,68.0,8.05
Saint Paul Harbor,1,US,1603347235,56,57.79,-152.41,44.6,23.04
Severo-Kuril'sk,86,RU,1603347268,70,50.68,156.12,42.17,7.31
Münster,33,DE,1603347249,82,51.96,7.63,59.0,6.93
Souillac,75,MU,1603347269,57,-20.52,57.52,80.6,14.99
Chany,96,RU,1603347269,72,55.31,76.76,38.66,16.58
Luanda,75,AO,1603347269,78,-8.84,13.23,77.0,3.36
Port Alfred,0,ZA,1603347269,64,-33.59,26.89,69.19,7.38
Khani,12,GE,1603347270,82,41.96,42.96,59.0,2.24
Belaya Gora,100,RU,1603347270,94,68.53,146.42,9.68,3.15
Ilulissat,100,GL,1603347270,86,69.22,-51.1,28.4,9.17
Tallahassee,1,US,1603347270,94,30.44,-84.28,71.6,8.05
Jamestown,90,US,1603347136,93,42.1,-79.24,53.01,5.82
Saint-Philippe,20,RE,1603347271,65,-21.36,55.77,80.6,23.04
Eureka,2,US,1603347271,83,40.8,-124.16,52.0,4.0
Nikolskoye,90,RU,1603347271,93,59.7,30.79,41.0,8.95
Brigantine,1,US,1603347271,93,39.41,-74.36,64.99,7.27
Aden,14,YE,1603347146,53,12.78,45.04,88.23,2.21
Pokhara,0,NP,1603347272,33,28.23,83.98,81.34,4.85
Henties Bay,4,NA,1603347272,84,-22.12,14.28,61.0,4.0
Bluff,97,NZ,1603347272,58,-46.6,168.33,60.01,1.01
Aklavik,20,CA,1603347230,78,68.22,-135.01,17.6,13.87
Kahului,1,US,1603347272,61,20.89,-156.47,80.6,3.36
Tomatlán,93,MX,1603347273,92,19.93,-105.25,78.75,0.85
Cape Town,2,ZA,1603347273,77,-33.93,18.42,64.99,9.17
Port Hawkesbury,75,CA,1603347273,93,45.62,-61.35,61.0,6.93
Longyearbyen,75,SJ,1603347273,73,78.22,15.64,24.8,9.17
Marawi,100,PH,1603347273,77,8.0,124.29,86.0,5.99
Middle Island,90,US,1603347274,93,40.88,-72.94,64.99,7.9
Ilhabela,21,BR,1603347274,86,-23.78,-45.36,70.56,3.74
Sisimiut,97,GL,1603347274,94,66.94,-53.67,27.01,4.41
Cairns,40,AU,1603347168,58,-16.92,145.77,84.2,13.87
Hasaki,75,JP,1603347274,73,35.73,140.83,72.0,5.82
Tautira,75,PF,1603347275,74,-17.73,-149.15,78.8,5.82
Touros,90,BR,1603347275,94,-5.2,-35.46,75.2,6.93
Ferrandina,40,IT,1603347275,100,40.5,16.45,51.01,2.62
La Grande,20,US,1603347275,90,45.32,-118.09,37.4,5.82
Saint-Augustin,100,CA,1603347275,94,51.23,-58.65,39.54,15.97
Suşehri,0,TR,1603347275,43,40.16,38.09,62.62,1.52
Novaya Lyalya,92,RU,1603347276,89,59.05,60.6,32.34,9.44
Sarangani,92,PH,1603347276,74,5.4,125.46,84.11,10.22
Taseyevo,93,RU,1603347276,48,57.22,94.9,53.8,6.8
Pomabamba,85,PE,1603347276,75,-8.83,-77.47,48.56,3.09
Kaitangata,97,NZ,1603347277,78,-46.28,169.85,54.0,5.01
Kirakira,39,SB,1603347277,69,-10.45,161.92,83.5,5.01
Villa Carlos Paz,98,AR,1603347277,99,-31.42,-64.5,57.0,1.03
Lida,94,BY,1603347277,86,53.88,25.3,46.96,14.38
Pervomayskoye,100,RU,1603347277,60,43.92,46.71,58.46,7.94
Hong Kong,20,HK,1603347278,59,22.29,114.16,81.0,1.99
Albany,99,US,1603347001,79,42.6,-73.97,61.0,2.46
Clyde River,1,CA,1603347278,72,70.47,-68.59,17.6,6.93
Borovskoy,100,KZ,1603347278,78,53.8,64.15,35.24,13.8
George Town,40,MY,1603346984,88,5.41,100.34,80.6,6.93
Ribeira Grande,92,PT,1603347279,65,38.52,-28.7,63.64,14.27
Avarua,100,CK,1603347279,83,-21.21,-159.78,75.2,6.93
Kamenka,100,RU,1603347279,92,51.32,42.77,37.99,9.48
Hambantota,40,LK,1603347279,59,6.12,81.12,93.2,17.22
Biltine,82,TD,1603347280,15,14.53,20.92,81.93,15.14
San Rafael,5,AR,1603347280,78,-34.62,-68.33,51.24,3.94
Kautokeino,99,NO,1603347280,97,69.01,23.04,23.63,11.18
Caconda,45,AO,1603347280,60,-13.73,15.07,64.56,2.51
Chokurdakh,100,RU,1603347280,95,70.63,147.92,12.85,5.39
Airai,41,TL,1603347281,61,-8.93,125.41,75.27,1.21
Gao,0,ML,1603347281,14,16.64,1.64,83.12,9.57
Geraldton,0,AU,1603347281,53,-28.77,114.6,73.4,21.92
Ranong,75,TH,1603347281,70,9.97,98.63,89.6,2.24
Roald,94,NO,1603347282,75,62.58,6.13,41.0,12.75
